listing_id,id,date,reviewer_id,reviewer_name,comments
1489424,7208791,2013-09-10,5817914,Hilary,Efrat and Dan were very welcoming and accommodating because we weren't sure what time we were getting there ! I would definitely recommend staying there
1489424,8001939,2013-10-12,4786919,Sharon,"As advertised, a very comfy bed. Restful room, pleasant hosts. This was a perfect stopover for passing through the Albany area."
1489424,8123022,2013-10-16,4786919,Sharon,"Glad to be back for a second time in my cozy room, comfy bed, personable and friendly hosts. It was great to have that coffee made for me in the morning before I was off again. "
1489424,8279957,2013-10-23,8362214,Andrej,"We stayed only for a night, so can not tell much about the area. Upon our quite late arrival, the family was still up and were busy with home beer preparation. It seemed that own business took all their attention, so we kind of felt on our own. Basement where we stayed was spacious, but quite messy, all things spread around, especially in the adjacent rooms. The room itself and the shower was ok; one can stay overnight there."
1489424,8303182,2013-10-24,9458270,Andreia,I had a pleasant stay here. The bed was indeed very comfortable (I wish I could have one like that at home). Efrat and her husband went above and beyond my expectations. Very grateful!
1489424,8342905,2013-10-26,2220644,J Mase,"I was in town to do some work at U Albany. Not only was this an amazingly friendly place to stay, the house is about 7 minutes driving to the university! I would definitely recommend staying here and most certainly will stay here if I am in town again! Clean space and Efrat is a very warm person and even invited my colleagues in for a quick chat before we headed out on the town!
<br/>
<br/>"
1489424,8741259,2013-11-15,261805,Tony,Efrat and Dan are very good hosts. We had some great conversations. Dan makes great beer! I'm looking forward to staying with them again.
1489424,8856844,2013-11-22,261805,Tony,"Efrat and Dan are a warm, welcoming and interesting couple. We sat around the kitchen table and shared some wine over conversation. Also enjoyed some excellent Mideastern snacks. The room is very comfortable and quiet and the bathroom is right outside the room. I am looking forward to staying with them again."
1489424,9092493,2013-12-06,4708179,Reinoud,"I have stayed at Efrat en Dan's for one night as part of a 'mini road trip' in the NE. It was great - they were welcoming, open, easy-going hosts, the room was comfortable, clean and tidy.
<br/>
<br/>I absolutely recommend staying there - next time I will!"
1489424,9216969,2013-12-14,5584819,Tyler,"Exactly as advertised.
<br/>Very friendly and good conversation.
<br/>Would stay again.
<br/>Would recommend to friends."
1489424,9295410,2013-12-19,9735767,Mauro,We had a very pleasant stay at Efrat and Dan's home. They were very welcoming and helpfull. Everything about the room/place was like advertised. Definetely would stay again next time.
1489424,9313952,2013-12-20,287311,Suzanne,Efrat and Dan were friendly and personable. We enjoyed talking with them very much. Their place was conveniently located and pleasant. 
1489424,9322463,2013-12-21,7937658,Amanda,"Efrat and Dan are super nice and helpful. Even gave me directions to get back to philly :)
<br/>awesome stay."
1489424,9992142,2014-01-23,9563593,Karen,"Efrat and Dan were incredibly welcoming and generous with their home and hospitality.  As a new nurse just getting used to my schedule in the ""big city"" it was a relief to have such a kind and friendly home in which to stay after a long shift.  I would definitely stay with them again if ever the need arose!"
